Code,Libellé,Éléments de gamme - Code,Éléments de gamme - Libellé,Éléments de gamme - Ordre
"GA00002","COULEUR","BF","BLEU FONCE",100
"GA00002","COULEUR","BC","BLEU CLAIR",200
"GA00002","COULEUR","GRIS","GRIS",300
"GA00002","COULEUR","VK","VERT KAKI",400
"GA00002","COULEUR","BLANC","BLANC",500
"GA00002","COULEUR","ROUGE","ROUGE",501
"GA00002","COULEUR","156","156",601
"GA00002","COULEUR","158","158",701
"GA00002","COULEUR","159","159",801
"GA00002","COULEUR","169","169",802
"GA00002","COULEUR","521","521",902
"GA00002","COULEUR","522","522",1002
"GA00001","GENRE","HOMME","HOMME",100
"GA00001","GENRE","FEMME","FEMME",200
"GA00004","LATERALITE","DROIT","DROITIER",100
"GA00004","LATERALITE","GAUCHE","GAUCHER",200
"GA00003","TAILLE","M","M",100
"GA00003","TAILLE","L","L",200
"GA00003","TAILLE","XL","XL",300
"GA00003","TAILLE","2XL","2XL",301
"GA00003","TAILLE","52","52",401
"GA00003","TAILLE","54","54",501
"GA00003","TAILLE","50","50",601
